%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1558546225950618707,1,1558546225950309038,,1,,3,100
1558546226951021857,2,1558546226950711965,,1,,3,0
1558546266198902273,3,1558546266198590040,,1,,3,100
1558546267198428238,4,1558546267198134899,,1,,3,0
1558546282210155945,5,1558546282209589004,,1,,3,100
1558546283210129669,6,1558546283209619045,,1,,3,0
1558546298209941183,7,1558546298209585905,,1,,3,100
1558546299213460743,8,1558546299210016965,,1,,3,0
1558546314230079787,9,1558546314229721069,,1,,3,100
1558546315253941899,10,1558546315231261968,,1,,3,0
1558546333069251609,11,1558546333068957090,,1,,3,100
1558546334071568930,12,1558546334070946931,,1,,3,0
1558546349074564296,13,1558546349074309110,,1,,3,100
1558546350076451723,14,1558546350075699090,,1,,3,0
1558546371928363998,15,1558546371927845954,,1,,3,100
1558546372925289936,16,1558546372924915075,,1,,3,0
1558546393426451698,17,1558546393425122022,,1,,3,100
1558546394426825460,18,1558546394425311088,,1,,3,0
1558546409440248217,19,1558546409439553976,,1,,3,100
1558546410458812362,20,1558546410458122968,,1,,3,0
1558546442796860695,21,1558546442796559095,,1,,10,100
1558546443796397497,22,1558546443796026945,,1,,10,0
1558546458815052920,23,1558546458814312934,,1,,10,100
1558546459816602016,24,1558546459815510988,,1,,10,0
1558546478207318231,25,1558546478207016944,,1,,10,100
1558546479208640886,26,1558546479208343982,,1,,10,0
1558546494419979798,27,1558546494419645071,,1,,10,100
1558546495420014441,28,1558546495419653892,,1,,10,0
1558546515653825938,29,1558546515653420925,,1,,3,100
1558546516653686171,30,1558546516653362035,,1,,3,0
1558546536825972449,31,1558546536825536966,,1,,3,100
1558546537826117192,32,1558546537825582027,,1,,3,0
1558546560123267385,33,1558546560122978925,,1,,10,100
1558546561124111233,34,1558546561123806953,,1,,10,0
1558546581875651027,35,1558546581874948978,,1,,10,100
1558546582875308456,36,1558546582874955892,,1,,10,0
1558546614576947772,37,1558546614576683998,,1,,10,100
1558546615579673372,38,1558546615578438997,,1,,10,0
1558546630580835665,39,1558546630580569982,,1,,10,100
1558546631583528538,40,1558546631582832098,,1,,10,0
1558546661357364298,41,1558546661357069969,,1,,10,100
1558546662360807964,42,1558546662357960939,,1,,10,0
1558546677362805905,43,1558546677362487077,,1,,10,100
1558546678364039707,44,1558546678363719940,,1,,10,0
1558546693367802428,45,1558546693367439985,,1,,10,100
1558546694371551961,46,1558546694370599031,,1,,10,0
1558546722977271114,47,1558546722976963043,,1,,3,100
1558546723977893926,48,1558546723977550029,,1,,3,0
1558546747333006948,49,1558546747332669973,,1,,3,100
1558546748331823476,50,1558546748331064939,,1,,3,0
1558546767983623017,51,1558546767982939958,,1,,10,100
1558546768983394675,52,1558546768982984066,,1,,10,0
1558546784912840138,53,1558546784912513971,,1,,10,100
1558546785913316095,54,1558546785912914991,,1,,10,0
1558546801589184644,55,1558546801588819980,,1,,10,100
1558546802587673566,56,1558546802587357997,,1,,10,0
1558546822386544063,57,1558546822386230945,,1,,10,100
1558546823386547502,58,1558546823385910987,,1,,10,0
1558546838393770124,59,1558546838390677928,,1,,10,100
1558546839424318723,60,1558546839423840045,,1,,10,0
1558546866029800891,61,1558546866029386043,,1,,3,100
1558546867030123999,62,1558546867029700040,,1,,3,0
1558546883278345164,63,1558546883277980089,,1,,3,100
1558546884275385538,64,1558546884275080919,,1,,3,0
1558546899289812231,65,1558546899284250974,,1,,3,100
1558546900292109317,66,1558546900290361881,,1,,3,0
1558546926823593238,67,1558546926823297023,,1,,3,100
1558546927823435388,68,1558546927823123931,,1,,3,0
1558546958558178559,69,1558546958557859897,,1,,3,100
1558546959582940774,70,1558546959582262992,,1,,3,0
1558546979349969754,71,1558546979349695920,,1,,10,100
1558546980374232143,72,1558546980349503993,,1,,10,0
1558546995384763919,73,1558546995384263038,,1,,10,100
1558546996393837614,74,1558546996387615919,,1,,10,0
1558547021191958957,75,1558547021191114902,,1,,3,100
1558547022185621677,76,1558547022185235023,,1,,3,0
1558547037223942884,77,1558547037223566055,,1,,3,100
1558547038222509659,78,1558547038222202062,,1,,3,0
1558547084000608049,79,1558547084000241041,,1,,3,100
1558547085021436490,80,1558547085018413066,,1,,3,0
1558547110478760343,81,1558547110478462934,,1,,10,100
1558547111480727941,82,1558547111480330944,,1,,10,0
1558547140705882774,83,1558547140704729080,,1,,3,100
1558547141709105752,84,1558547141704144954,,1,,3,0
1558547158518297494,85,1558547158517947912,,1,,3,100
1558547159519622780,86,1558547159519299983,,1,,3,0
1558547186471862389,87,1558547186471498012,,1,,10,100
1558547187472065932,88,1558547187471373081,,1,,10,0
1558547214180815303,89,1558547214180464029,,1,,10,100
1558547215187729340,90,1558547215187024116,,1,,10,0
1558547233223320840,91,1558547233223005056,,1,,10,100
1558547234224196416,92,1558547234223818063,,1,,10,0
1558547249245999004,93,1558547249245686054,,1,,10,100
1558547250249626897,94,1558547250247937917,,1,,10,0
1558547265283582560,95,1558547265283269882,,1,,10,100
1558547266311288140,96,1558547266310524940,,1,,10,0
1558547281303351948,97,1558547281302891016,,1,,10,100
1558547282304020482,98,1558547282303333997,,1,,10,0
1558547297433016461,99,1558547297432780981,,1,,10,100
1558547298458562909,100,1558547298457768917,,1,,10,0
1558547313456237983,101,1558547313455940961,,1,,10,100
1558547314459413811,102,1558547314458728075,,1,,10,0
1558547329462193749,103,1558547329461946010,,1,,10,100
1558547330463918255,104,1558547330463213920,,1,,10,0
1558547345463206938,105,1558547345462893962,,1,,10,100
1558547346469190962,106,1558547346467871904,,1,,10,0
1558547361505847324,107,1558547361499866008,,1,,10,100
1558547362500349924,108,1558547362500026941,,1,,10,0
1558547377532255564,109,1558547377531943082,,1,,10,100
1558547378518884516,110,1558547378518174886,,1,,10,0
1558547393543212850,111,1558547393542826890,,1,,10,100
1558547394534408620,112,1558547394534079074,,1,,10,0
1558547409552910579,113,1558547409552222013,,1,,10,100
1558547410554014233,114,1558547410553487062,,1,,10,0
1558547425564659328,115,1558547425564348936,,1,,10,100
1558547426565100915,116,1558547426564805030,,1,,10,0
1558547441578230469,117,1558547441577852964,,1,,10,100
1558547442580866487,118,1558547442580127000,,1,,10,0
