%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1563401203690237489,1,1563401203689814090,,1,,3,100
1563401204698621798,2,1563401204698012113,,1,,3,0
1563401240962752519,3,1563401240962444067,,1,,3,100
1563401241982773698,4,1563401241982388973,,1,,3,0
1563401283785612575,5,1563401283785335063,,1,,3,100
1563401284785742989,6,1563401284785423994,,1,,3,0
1563401300002199473,7,1563401300001854896,,1,,3,100
1563401301029215057,8,1563401301028827905,,1,,3,0
1563401316025844843,9,1563401316025234937,,1,,3,100
1563401317026159827,10,1563401317025825023,,1,,3,0
1563401333447296669,11,1563401333446527004,,1,,3,100
1563401334458732797,12,1563401334458395957,,1,,3,0
1563401359778322113,13,1563401359778006076,,1,,3,100
1563401360778662865,14,1563401360778295040,,1,,3,0
1563401382550220359,15,1563401382549860000,,1,,3,100
1563401383547261549,16,1563401383546989917,,1,,3,0
1563401408465544061,17,1563401408465195894,,1,,3,100
1563401409493868763,18,1563401409465873003,,1,,3,0
1563401432010490461,19,1563401432010179996,,1,,3,100
1563401433019972535,20,1563401433019663095,,1,,3,0
1563401448137040748,21,1563401448136765956,,1,,3,100
1563401449137680075,22,1563401449137304067,,1,,3,0
1563401464173023024,23,1563401464169548988,,1,,3,100
1563401465182770996,24,1563401465182435989,,1,,3,0
1563401480173860803,25,1563401480170346975,,1,,3,100
1563401481178813703,26,1563401481178520917,,1,,3,0
1563401496222489382,27,1563401496221832990,,1,,3,100
1563401497228535660,28,1563401497222142934,,1,,3,0
1563401518987930820,29,1563401518987617015,,1,,3,100
1563401519982314873,30,1563401519982042074,,1,,3,0
1563401541538535738,31,1563401541537736892,,1,,3,100
1563401542537339264,32,1563401542537015914,,1,,3,0
1563401566656527066,33,1563401566655358076,,1,,3,100
1563401567664684952,34,1563401567664282083,,1,,3,0
1563401582666524324,35,1563401582666204929,,1,,3,100
1563401583663538054,36,1563401583663228034,,1,,3,0
1563401603846821455,37,1563401603846553087,,1,,3,100
1563401604859350914,38,1563401604858758926,,1,,3,0
1563401619906889763,39,1563401619906495094,,1,,3,100
1563401620913279306,40,1563401620912846088,,1,,3,0
1563401635940044008,41,1563401635938854932,,1,,3,100
1563401636939491076,42,1563401636938898086,,1,,3,0
1563401665709895512,43,1563401665709506988,,1,,3,100
1563401666709318491,44,1563401666708946943,,1,,3,0
1563401695137000566,45,1563401695136614084,,1,,3,100
1563401696136105854,46,1563401696135813951,,1,,3,0
1563401711147475185,47,1563401711147094964,,1,,3,100
1563401712147264475,48,1563401712146595001,,1,,3,0
1563401742431813195,49,1563401742431116104,,1,,3,100
1563401743431649336,50,1563401743431196928,,1,,3,0
1563401768004182475,51,1563401768001677036,,1,,3,100
1563401769025556982,52,1563401769025157928,,1,,3,0
1563401784014618534,53,1563401784014348983,,1,,3,100
1563401785023175158,54,1563401785022777080,,1,,3,0
1563401800068676341,55,1563401800068366050,,1,,3,100
1563401801068882948,56,1563401801068542957,,1,,3,0
1563401827834743707,57,1563401827834026098,,1,,3,100
1563401828864785951,58,1563401828862293958,,1,,3,0
1563401854489134518,59,1563401854488507986,,1,,3,100
1563401855488301150,60,1563401855487998962,,1,,3,0
1563401870967054414,61,1563401870966737031,,1,,3,100
1563401871964744829,62,1563401871964333057,,1,,3,0
1563401886997750780,63,1563401886997411966,,1,,3,100
1563401888002759868,64,1563401887997883081,,1,,3,0
1563401920599139643,65,1563401920598829984,,1,,3,100
1563401921598938944,66,1563401921597913980,,1,,3,0
1563401943292826276,67,1563401943292145967,,1,,3,100
1563401944291923409,68,1563401944291656970,,1,,3,0
1563401959322569483,69,1563401959322241067,,1,,3,100
1563401960320078450,70,1563401960319801092,,1,,3,0
1563401987020418783,71,1563401987020104885,,1,,3,100
1563401988020953826,72,1563401988020623922,,1,,3,0
1563402009610647119,73,1563402009610347986,,1,,3,100
1563402010620378173,74,1563402010619975090,,1,,3,0
1563402026191366492,75,1563402026191049098,,1,,3,100
1563402027196569953,76,1563402027195847034,,1,,3,0
1563402056878986106,77,1563402056878676891,,1,,3,100
1563402057880989501,78,1563402057880156993,,1,,3,0
1563402080977827393,79,1563402080977410078,,1,,3,100
1563402081979381715,80,1563402081979063987,,1,,3,0
1563402097033664679,81,1563402097032860994,,1,,3,100
1563402098033455454,82,1563402098033018112,,1,,3,0
1563402113033901700,83,1563402113033497095,,1,,3,100
1563402114036869045,84,1563402114033905029,,1,,3,0
1563402141148131619,85,1563402141147802114,,1,,3,100
1563402142148926193,86,1563402142148530006,,1,,3,0
1563402163363211781,87,1563402163362867116,,1,,3,100
1563402164385366151,88,1563402164385025978,,1,,3,0
1563402192257902879,89,1563402192257514953,,1,,3,100
1563402193258540166,90,1563402193257468938,,1,,3,0
1563402220092151413,91,1563402220091176986,,1,,3,100
