%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1568303863564295095,1,1568303863563865900,,1,,10,100
1568303864563246974,2,1568303864562880992,,1,,10,0
1568303909518305655,3,1568303909518017053,,1,,10,100
1568303910518959489,4,1568303910518567085,,1,,10,0
1568303959815766501,5,1568303959815424919,,1,,10,100
1568303960817450001,6,1568303960817111968,,1,,10,0
1568303990329399221,7,1568303990329060077,,1,,10,100
1568303991335895098,8,1568303991335371971,,1,,10,0
1568304006384509631,9,1568304006382616043,,1,,10,100
1568304007385974802,10,1568304007385653018,,1,,10,0
1568304023845180273,11,1568304023844849109,,1,,10,100
1568304024851679467,12,1568304024851290941,,1,,10,0
1568304044385578700,13,1568304044384921073,,1,,10,100
1568304045386980170,14,1568304045386570930,,1,,10,0
1568304060429131024,15,1568304060428842067,,1,,10,100
1568304061431800009,16,1568304061431014060,,1,,10,0
1568304090414174174,17,1568304090413861036,,1,,10,100
1568304091416263116,18,1568304091415916919,,1,,10,0
1568304106418233478,19,1568304106417912006,,1,,10,100
1568304107421939053,20,1568304107421271085,,1,,10,0
1568304415526920918,21,1568304415526618003,,1,,10,100
1568304416527288783,22,1568304416526984930,,1,,10,0
1568304461059023198,23,1568304461058732032,,1,,10,100
1568304462063612460,24,1568304462063170909,,1,,10,0
1568304496737529972,25,1568304496737154960,,1,,10,100
1568304497734258073,26,1568304497733865022,,1,,10,0
1568304512754800923,27,1568304512754471063,,1,,10,100
1568304513764714949,28,1568304513764395952,,1,,10,0
1568304528760169011,29,1568304528758605957,,1,,10,100
1568304529759777115,30,1568304529759109020,,1,,10,0
1568304544833620466,31,1568304544833277940,,1,,10,100
1568304545843509073,32,1568304545843229055,,1,,10,0
1568304560881446040,33,1568304560876215934,,1,,10,100
1568304561877564024,34,1568304561876252889,,1,,10,0
1568304576907331424,35,1568304576906578063,,1,,10,100
1568304577907307412,36,1568304577907032012,,1,,10,0
1568304592910484320,37,1568304592910156011,,1,,10,100
1568304593925232773,38,1568304593924576997,,1,,10,0
1568304626671062433,39,1568304626670727968,,1,,10,100
1568304627670561006,40,1568304627670015096,,1,,10,0
1568304642678347182,41,1568304642677289962,,1,,10,100
1568304643679354634,42,1568304643678962945,,1,,10,0
1568304668208807041,43,1568304668206881046,,1,,10,100
1568304669208641897,44,1568304669204586982,,1,,10,0
1568304684741451826,45,1568304684741075038,,1,,10,100
1568304685743619683,46,1568304685743268966,,1,,10,0
1568304714435246261,47,1568304714434947967,,1,,10,100
1568304715434762346,48,1568304715434447050,,1,,10,0
1568305017114286168,49,1568305017113977909,,1,,10,100
1568305018124554681,50,1568305018124200105,,1,,10,0
1568305049844155810,51,1568305049843827962,,1,,10,100
1568305050852766258,52,1568305050852467060,,1,,10,0
1568305065850811417,53,1568305065850200891,,1,,10,100
1568305066850948086,54,1568305066850631952,,1,,10,0
1568305081857677002,55,1568305081851346969,,1,,10,100
1568305082856099417,56,1568305082854597091,,1,,10,0
1568305112427555436,57,1568305112427171945,,1,,10,100
1568305113427180453,58,1568305113426831960,,1,,10,0
1568305128453478954,59,1568305128447134971,,1,,10,100
