%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1563487463186798071,1,1563487463186429023,,1,,10,100
1563487464185341903,2,1563487464184429883,,1,,10,0
1563487479195177016,3,1563487479194773912,,1,,10,100
1563487480219006284,4,1563487480218311071,,1,,10,0
1563487495255742111,5,1563487495227780103,,1,,10,100
1563487496230130331,6,1563487496229763984,,1,,10,0
1563487513384427488,7,1563487513383738040,,1,,10,100
1563487514386286699,8,1563487514385037899,,1,,10,0
1563487529393404669,9,1563487529392642021,,1,,10,100
1563487530393044401,10,1563487530392563104,,1,,10,0
1563487551341156754,11,1563487551340503931,,1,,10,100
1563487552342896709,12,1563487552342508077,,1,,10,0
1563487570075680901,13,1563487570072501897,,1,,10,100
1563487571100256936,14,1563487571099848031,,1,,10,0
1563487586084368203,15,1563487586083669900,,1,,10,100
1563487587099622326,16,1563487587099301099,,1,,10,0
1563487603465250821,17,1563487603464848995,,1,,10,100
1563487604459896194,18,1563487604459525108,,1,,10,0
1563487619841862232,19,1563487619834532022,,1,,10,100
1563487620875170809,20,1563487620874785900,,1,,10,0
1563487638989749014,21,1563487638989272117,,1,,10,100
1563487639991582813,22,1563487639991287946,,1,,10,0
1563487655851068890,23,1563487655850754022,,1,,10,100
1563487656860400932,24,1563487656859049081,,1,,10,0
1563487671858058387,25,1563487671856578111,,1,,10,100
1563487672858940234,26,1563487672858589887,,1,,10,0
1563487687856701983,27,1563487687856245994,,1,,10,100
1563487688858882343,28,1563487688858505964,,1,,10,0
1563487706486235722,29,1563487706485619068,,1,,10,100
1563487707487999066,30,1563487707487657070,,1,,10,0
1563487724563671798,31,1563487724563406944,,1,,10,100
1563487725565543141,32,1563487725558521032,,1,,10,0
1563487740956040546,33,1563487740955734968,,1,,10,100
1563487741991240036,34,1563487741990814924,,1,,10,0
1563487763062896724,35,1563487763062576055,,1,,10,100
1563487764075831086,36,1563487764074585914,,1,,10,0
1563487780301493342,37,1563487780301179885,,1,,10,100
1563487781301664391,38,1563487781301336050,,1,,10,0
1563487798341810844,39,1563487798338181018,,1,,10,100
1563487799325353217,40,1563487799325016021,,1,,10,0
1563487814996040184,41,1563487814995353937,,1,,10,100
1563487815995757612,42,1563487815995459079,,1,,10,0
1563487837697499545,43,1563487837697091102,,1,,10,100
1563487838695027256,44,1563487838694331884,,1,,10,0
1563487855429864083,45,1563487855429537057,,1,,10,100
1563487856426911450,46,1563487856426512002,,1,,10,0
1563487874666000455,47,1563487874664628028,,1,,10,100
1563487875668358374,48,1563487875666332960,,1,,10,0
1563487892272797301,49,1563487892272413015,,1,,10,100
1563487893272634095,50,1563487893270785093,,1,,10,0
1563487908766184717,51,1563487908765793085,,1,,10,100
1563487909770287062,52,1563487909768997907,,1,,10,0
1563487924908959109,53,1563487924907607078,,1,,10,100
1563487925907399811,54,1563487925907092094,,1,,10,0
1563487946614006150,55,1563487946590058088,,1,,10,100
1563487947591830173,56,1563487947591511011,,1,,10,0
1563487963624721255,57,1563487963624418020,,1,,10,100
1563487964625100763,58,1563487964624598979,,1,,10,0
1563487986500191285,59,1563487986499828100,,1,,10,100
1563487987502493982,60,1563487987502183914,,1,,10,0
1563488002826682104,61,1563488002826405048,,1,,10,100
1563488003825490671,62,1563488003825229883,,1,,10,0
1563488024125813771,63,1563488024123863935,,1,,10,100
1563488025128861883,64,1563488025123764038,,1,,10,0
1563488048826377412,65,1563488048826000928,,1,,10,100
1563488049822659018,66,1563488049822403907,,1,,10,0
1563488064900182013,67,1563488064899777889,,1,,10,100
1563488065901016232,68,1563488065899215936,,1,,10,0
1563488083437542967,69,1563488083436858892,,1,,10,100
1563488084435106542,70,1563488084434607028,,1,,10,0
1563488099626427396,71,1563488099626066923,,1,,10,100
1563488100627762677,72,1563488100627347946,,1,,10,0
1563488117721956789,73,1563488117721694946,,1,,10,100
1563488118727283460,74,1563488118726982116,,1,,10,0
1563488133735645052,75,1563488133735337972,,1,,10,100
1563488134735450632,76,1563488134735126018,,1,,10,0
1563488149735931273,77,1563488149735580921,,1,,10,100
1563488150736537037,78,1563488150736243009,,1,,10,0
1563488168115903195,79,1563488168115355968,,1,,10,100
1563488169110936890,80,1563488169110670089,,1,,10,0
1563488189018506170,81,1563488189018173933,,1,,10,100
1563488190020355693,82,1563488190018419027,,1,,10,0
1563488210226344403,83,1563488210226016998,,1,,10,100
1563488211254671361,84,1563488211254276990,,1,,10,0
1563488229133899233,85,1563488229130614042,,1,,10,100
1563488230144514886,86,1563488230144125938,,1,,10,0
1563488252121186616,87,1563488252120862007,,1,,10,100
1563488253121357019,88,1563488253121085882,,1,,10,0
1563488271789887110,89,1563488271786513090,,1,,10,100
1563488272784012658,90,1563488272783654928,,1,,10,0
1563488290630200331,91,1563488290629817962,,1,,10,100
1563488291634076531,92,1563488291633692026,,1,,10,0
1563488313211324379,93,1563488313210666894,,1,,10,100
1563488314219806598,94,1563488314219356060,,1,,10,0
1563488335609546957,95,1563488335608843088,,1,,10,100
1563488336615013101,96,1563488336614614009,,1,,10,0
1563488354334547505,97,1563488354334264039,,1,,10,100
1563488355335820817,98,1563488355335500001,,1,,10,0
1563488373940782119,99,1563488373940476894,,1,,10,100
1563488374942864566,100,1563488374942100048,,1,,10,0
1563488390817837474,101,1563488390817513942,,1,,10,100
1563488391815449205,102,1563488391815071105,,1,,10,0
1563488406824531471,103,1563488406824239969,,1,,10,100
1563488407820583487,104,1563488407820297956,,1,,10,0
1563488424433215012,105,1563488424432868957,,1,,10,100
1563488425435994553,106,1563488425435642957,,1,,10,0
1563488457055771988,107,1563488457053937911,,1,,10,100
1563488458052292068,108,1563488458051883935,,1,,10,0
1563488473126469646,109,1563488473126180887,,1,,10,100
1563488474140239259,110,1563488474138411998,,1,,10,0
1563488495104469598,111,1563488495104012966,,1,,10,100
1563488496103627869,112,1563488496103323936,,1,,10,0
1563488518072291966,113,1563488518071973085,,1,,10,100
1563488519100084891,114,1563488519098068952,,1,,10,0
1563488534077719923,115,1563488534074249029,,1,,10,100
1563488535093899446,116,1563488535073000907,,1,,10,0
1563488550587318947,117,1563488550585496902,,1,,10,100
1563488551586538047,118,1563488551586236000,,1,,10,0
1563488570100152489,119,1563488570099019050,,1,,10,100
1563488571099776122,120,1563488571099092960,,1,,10,0
1563488586139495674,121,1563488586138667106,,1,,10,100
1563488587139176403,122,1563488587138298988,,1,,10,0
1563488606239597703,123,1563488606239233016,,1,,10,100
1563488607259225140,124,1563488607258555889,,1,,10,0
1563488622271253546,125,1563488622271003007,,1,,10,100
1563488623278914812,126,1563488623278336048,,1,,10,0
1563488647852885030,127,1563488647852605104,,1,,10,100
1563488648872247642,128,1563488648871876001,,1,,10,0
1563488668533941245,129,1563488668508708953,,1,,10,100
1563488669509230334,130,1563488669508925914,,1,,10,0
1563488690801606656,131,1563488690801292896,,1,,10,100
1563488691801757611,132,1563488691801460027,,1,,10,0
1563488714469911392,133,1563488714463886022,,1,,10,100
1563488715467043202,134,1563488715466705083,,1,,10,0
1563488730483622375,135,1563488730482978105,,1,,10,100
1563488731482597815,136,1563488731482359886,,1,,10,0
1563488749257127888,137,1563488749256819009,,1,,10,100
1563488750254710696,138,1563488750254389047,,1,,10,0
1563488768606069646,139,1563488768605731010,,1,,10,100
1563488769607237355,140,1563488769606919050,,1,,10,0
1563488786664752228,141,1563488786664330005,,1,,10,100
1563488787665725896,142,1563488787665352106,,1,,10,0
1563488803101102054,143,1563488803100325107,,1,,10,100
1563488804100951627,144,1563488804100594997,,1,,10,0
1563488819110250157,145,1563488819109941005,,1,,10,100
1563488820110530938,146,1563488820110219955,,1,,10,0
1563488842808027413,147,1563488842807723999,,1,,10,100
1563488843810637687,148,1563488843810242891,,1,,10,0
1563488859760961642,149,1563488859760665893,,1,,10,100
1563488860760833240,150,1563488860760492086,,1,,10,0
1563488876472695678,151,1563488876472404956,,1,,10,100
1563488877501874944,152,1563488877498117923,,1,,10,0
1563488896084473627,153,1563488896084068059,,1,,10,100
1563488897084348042,154,1563488897084026098,,1,,10,0
1563488912111861199,155,1563488912111587047,,1,,10,100
1563488913111652555,156,1563488913111362934,,1,,10,0
1563488928119560308,157,1563488928119061946,,1,,10,100
1563488929119382151,158,1563488929118912935,,1,,10,0
1563488951008329763,159,1563488951008034944,,1,,10,100
1563488952009909853,160,1563488952009593009,,1,,10,0
1563488968534231457,161,1563488968533803939,,1,,10,100
1563488969511443990,162,1563488969511138916,,1,,10,0
1563488984583138354,163,1563488984582297086,,1,,10,100
1563488985584348017,164,1563488985583995103,,1,,10,0
1563489002165163680,165,1563489002164804935,,1,,10,100
1563489003166599449,166,1563489003166301965,,1,,10,0
1563489019346416838,167,1563489019346117019,,1,,10,100
1563489020346526434,168,1563489020346225976,,1,,10,0
1563489036722940606,169,1563489036722557067,,1,,10,100
1563489037722902895,170,1563489037722547054,,1,,10,0
1563489056420146392,171,1563489056419838905,,1,,10,100
1563489057417486888,172,1563489057417171955,,1,,10,0
1563489073377804332,173,1563489073373785972,,1,,10,100
1563489074373102085,174,1563489074372777938,,1,,10,0
1563489095332684092,175,1563489095331470966,,1,,10,100
1563489096334713185,176,1563489096333080053,,1,,10,0
1563489112418255454,177,1563489112417949914,,1,,10,100
1563489113419323889,178,1563489113418975114,,1,,10,0
1563489131010485522,179,1563489131010183095,,1,,10,100
1563489132010960795,180,1563489132010699987,,1,,10,0
1563489152651200447,181,1563489152650921106,,1,,10,100
1563489153660084418,182,1563489153659778118,,1,,10,0
1563489171013658886,183,1563489171013398885,,1,,10,100
1563489172013695944,184,1563489172013412952,,1,,10,0
1563489193901790580,185,1563489193901470899,,1,,10,100
1563489194901001309,186,1563489194900686025,,1,,10,0
1563489215180650318,187,1563489215180392026,,1,,10,100
1563489216180542025,188,1563489216180206060,,1,,10,0
1563489240929839551,189,1563489240929462909,,1,,10,100
1563489241929861531,190,1563489241929478883,,1,,10,0
1563489269540099707,191,1563489269539773941,,1,,10,100
1563489270538572481,192,1563489270538156986,,1,,10,0
1563489285555134371,193,1563489285554893970,,1,,10,100
1563489286556022122,194,1563489286555715084,,1,,10,0
1563489306205239158,195,1563489306204545021,,1,,10,100
1563489307205445053,196,1563489307204540967,,1,,10,0
1563489322222377161,197,1563489322222134113,,1,,10,100
1563489323222656758,198,1563489323222348928,,1,,10,0
1563489338231617228,199,1563489338231183052,,1,,10,100
1563489339257765960,200,1563489339255366086,,1,,10,0
1563489358017344449,201,1563489358017075061,,1,,10,100
1563489359016358633,202,1563489359016026020,,1,,10,0
1563489375817960595,203,1563489375817614078,,1,,10,100
1563489376818798208,204,1563489376818443059,,1,,10,0
1563489395522145945,205,1563489395521861076,,1,,10,100
1563489396542953355,206,1563489396542654037,,1,,10,0
1563489416892235801,207,1563489416891957998,,1,,10,100
1563489417892029634,208,1563489417891714096,,1,,10,0
1563489436878783989,209,1563489436878427028,,1,,10,100
1563489437878375994,210,1563489437877968072,,1,,10,0
1563489461726543774,211,1563489461726242065,,1,,10,100
1563489462727131013,212,1563489462726850032,,1,,10,0
1563489479746345205,213,1563489479745975017,,1,,10,100
1563489480745521019,214,1563489480745212078,,1,,10,0
1563489505373917452,215,1563489505367295026,,1,,10,100
1563489506365777026,216,1563489506365437984,,1,,10,0
1563489527600853530,217,1563489527600524902,,1,,10,100
1563489528601065430,218,1563489528600516080,,1,,10,0
1563489547794278590,219,1563489547794050931,,1,,10,100
1563489548795369800,220,1563489548795089006,,1,,10,0
1563489571325169205,221,1563489571324927091,,1,,10,100
1563489572325169254,222,1563489572324938058,,1,,10,0
1563489592324112888,223,1563489592323843955,,1,,10,100
1563489593338246183,224,1563489593337881088,,1,,10,0
1563489608325492775,225,1563489608325197935,,1,,10,100
1563489609342965068,226,1563489609342636108,,1,,10,0
1563489625846702070,227,1563489625845386028,,1,,10,100
1563489626844275005,228,1563489626843549013,,1,,10,0
1563489642635487779,229,1563489642635265111,,1,,10,100
1563489643636398551,230,1563489643636039972,,1,,10,0
1563489661534247349,231,1563489661533837080,,1,,10,100
1563489662533506884,232,1563489662533221960,,1,,10,0
1563489689990261835,233,1563489689989820003,,1,,10,100
1563489690989575032,234,1563489690989259004,,1,,10,0
1563489706889513370,235,1563489706889262914,,1,,10,100
1563489707901391624,236,1563489707901088953,,1,,10,0
1563489746201794173,237,1563489746201422929,,1,,10,100
1563489747201504196,238,1563489747200402975,,1,,10,0
1563489763940760052,239,1563489763940525054,,1,,10,100
1563489764941096414,240,1563489764940785884,,1,,10,0
1563489783759812482,241,1563489783757464885,,1,,10,100
1563489784755700096,242,1563489784755431890,,1,,10,0
1563489801819595048,243,1563489801819117069,,1,,10,100
1563489802821612636,244,1563489802821315050,,1,,10,0
1563489824077055691,245,1563489824076765060,,1,,10,100
1563489825077088856,246,1563489825076771020,,1,,10,0
1563489845617443456,247,1563489845617021083,,1,,10,100
1563489846619592467,248,1563489846618956089,,1,,10,0
