%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1561665173513945970,1,1561665173513336896,,1,,3,100
1561665174512405758,2,1561665174512074947,,1,,3,0
1561665189521763118,3,1561665189517533063,,1,,3,100
1561665190519135101,4,1561665190518827915,,1,,3,0
1561665205523455322,5,1561665205522716999,,1,,3,100
1561665206521762056,6,1561665206521460056,,1,,3,0
1561665221533658234,7,1561665221533292055,,1,,3,100
1561665222537008064,8,1561665222536647081,,1,,3,0
1561665253604369737,9,1561665253604069948,,1,,3,100
1561665254620782643,10,1561665254620079040,,1,,3,0
1561665269622755508,11,1561665269621999025,,1,,3,100
1561665270621961100,12,1561665270621594905,,1,,3,0
1561665292306208133,13,1561665292305866003,,1,,3,100
1561665293306928197,14,1561665293306596994,,1,,3,0
1561665314164218697,15,1561665314163856983,,1,,3,100
1561665315170044139,16,1561665315169734001,,1,,3,0
1561665330170721176,17,1561665330170392990,,1,,3,100
1561665331170633290,18,1561665331170337915,,1,,3,0
1561665355601790262,19,1561665355597280979,,1,,3,100
1561665356602716526,20,1561665356602415084,,1,,3,0
1561665380287358817,21,1561665380287044048,,1,,3,100
1561665381286594149,22,1561665381286231040,,1,,3,0
1561665411162860386,23,1561665411162142992,,1,,3,100
1561665412163826059,24,1561665412161590099,,1,,3,0
1561665430346461227,25,1561665430345741987,,1,,3,100
1561665431336715748,26,1561665431336380958,,1,,3,0
1561665454730196053,27,1561665454729846954,,1,,3,100
1561665455742039866,28,1561665455740967035,,1,,3,0
1561665483783914207,29,1561665483783608913,,1,,3,100
1561665484784482741,30,1561665484784046888,,1,,3,0
1561665513046128181,31,1561665513045772075,,1,,3,100
1561665514043705086,32,1561665514043200969,,1,,3,0
1561665536878343552,33,1561665536877989053,,1,,3,100
1561665537874817145,34,1561665537874248981,,1,,3,0
1561665571304113263,35,1561665571301445007,,1,,3,100
1561665572305783031,36,1561665572305438041,,1,,3,0
1561665593916898263,37,1561665593916518926,,1,,3,100
1561665594938727359,38,1561665594938314914,,1,,3,0
1561665614322552828,39,1561665614322259902,,1,,3,100
1561665615321243339,40,1561665615320943117,,1,,3,0
1561665642509406353,41,1561665642502438068,,1,,3,100
1561665643502568747,42,1561665643502260923,,1,,3,0
1561665677760816297,43,1561665677760426998,,1,,3,100
1561665678790022757,44,1561665678785757064,,1,,3,0
1561665706384749597,45,1561665706384449005,,1,,3,100
1561665707384670215,46,1561665707384360074,,1,,3,0
1561665732304251273,47,1561665732303885936,,1,,3,100
1561665733303582493,48,1561665733303299903,,1,,3,0
1561665756469535877,49,1561665756468786954,,1,,3,100
1561665757499590684,50,1561665757499228000,,1,,3,0
1561665784257711662,51,1561665784257343053,,1,,3,100
1561665785259068691,52,1561665785256987094,,1,,3,0
1561665814499130715,53,1561665814498795032,,1,,3,100
1561665815498737783,54,1561665815498356103,,1,,3,0
1561665833018602957,55,1561665833018233060,,1,,3,100
1561665833987389916,56,1561665833987066030,,1,,3,0
1561665854377804437,57,1561665854373133897,,1,,3,100
1561665855379965164,58,1561665855375068902,,1,,3,0
1561665886882068907,59,1561665886881628036,,1,,3,100
1561665887905934340,60,1561665887900259971,,1,,3,0
1561665916483308928,61,1561665916482841014,,1,,3,100
1561665917498966143,62,1561665917498280048,,1,,3,0
1561665935474838393,63,1561665935474386930,,1,,3,100
1561665936476085126,64,1561665936475781917,,1,,3,0
1561665959591884772,65,1561665959591418027,,1,,11,100
1561665960594281768,66,1561665960593918085,,1,,11,0
1561665982193807346,67,1561665982191814899,,1,,11,100
1561665983195569183,68,1561665983190254926,,1,,11,0
1561666010743397514,69,1561666010743139982,,1,,11,100
1561666011744842918,70,1561666011744564056,,1,,11,0
1561666040236412267,71,1561666040236078977,,1,,11,100
1561666041237047376,72,1561666041236675024,,1,,11,0
1561666061779288289,73,1561666061778985977,,1,,3,100
1561666062779554191,74,1561666062779262065,,1,,3,0
1561666087332542805,75,1561666087331340074,,1,,3,100
1561666088340108941,76,1561666088338409900,,1,,3,0
1561666113664309248,77,1561666113663913965,,1,,3,100
1561666114670971809,78,1561666114670300006,,1,,3,0
1561666136562295437,79,1561666136561909914,,1,,3,100
1561666137567701623,80,1561666137567085027,,1,,3,0
1561666162094075281,81,1561666162089943885,,1,,3,100
1561666163102005397,82,1561666163101669073,,1,,3,0
1561666178089967500,83,1561666178089602947,,1,,3,100
1561666179102800264,84,1561666179102440118,,1,,3,0
1561666211068074310,85,1561666211067734003,,1,,3,100
1561666212073826194,86,1561666212068592071,,1,,3,0
1561666231628707469,87,1561666231628398895,,1,,11,100
1561666232631481428,88,1561666232631129980,,1,,11,0
1561666254826556392,89,1561666254824266910,,1,,11,100
1561666255822669946,90,1561666255822348117,,1,,11,0
1561666273599671797,91,1561666273599046945,,1,,3,100
1561666274624807192,92,1561666274624422073,,1,,3,0
1561666298191915406,93,1561666298191595077,,1,,3,100
1561666299190074698,94,1561666299189723014,,1,,3,0
1561666318894772010,95,1561666318894351005,,1,,11,100
1561666319900661573,96,1561666319900276899,,1,,11,0
1561666344071964670,97,1561666344071665048,,1,,11,100
1561666345059299497,98,1561666345058950901,,1,,11,0
1561666362968845672,99,1561666362968516111,,1,,3,100
1561666363969852548,100,1561666363968723058,,1,,3,0
1561666384591943008,101,1561666384591583967,,1,,3,100
1561666385590262542,102,1561666385589973926,,1,,3,0
1561666401397475038,103,1561666401390507936,,1,,11,100
1561666402390394869,104,1561666402390038013,,1,,11,0
1561666420624799910,105,1561666420624444961,,1,,11,100
1561666421624877593,106,1561666421624211072,,1,,11,0
1561666440564318313,107,1561666440563941001,,1,,3,100
1561666441569866140,108,1561666441564026117,,1,,3,0
1561666458398684048,109,1561666458398329019,,1,,3,100
1561666459422353784,110,1561666459421936988,,1,,3,0
1561666475156464041,111,1561666475156107902,,1,,11,100
1561666476158702410,112,1561666476157053947,,1,,11,0
1561666497522730300,113,1561666497522413015,,1,,11,100
1561666498523004421,114,1561666498522346019,,1,,11,0
1561666517891318632,115,1561666517890908956,,1,,3,100
1561666518890244733,116,1561666518889957904,,1,,3,0
1561666538247288146,117,1561666538246990919,,1,,3,100
1561666539258550724,118,1561666539258285045,,1,,3,0
1561666556636001417,119,1561666556632374048,,1,,11,100
1561666557657194576,120,1561666557656518936,,1,,11,0
1561666573552889941,121,1561666573552181959,,1,,11,100
1561666574554431491,122,1561666574550818920,,1,,11,0
1561666592393918589,123,1561666592391024112,,1,,3,100
1561666593392584525,124,1561666593392200946,,1,,3,0
1561666620985774927,125,1561666620983076095,,1,,3,100
1561666621990194645,126,1561666621989778995,,1,,3,0
1561666642359102051,127,1561666642358799934,,1,,11,100
1561666643360498652,128,1561666643360194921,,1,,11,0
1561666659958796817,129,1561666659958421945,,1,,11,100
1561666660964019452,130,1561666660963352918,,1,,11,0
1561666679263789634,131,1561666679262901067,,1,,3,100
1561666680262524500,132,1561666680262152910,,1,,3,0
1561666696587477142,133,1561666696587088108,,1,,3,100
1561666697586082306,134,1561666697585716009,,1,,3,0
1561666712566299375,135,1561666712565975904,,1,,11,100
1561666713559078623,136,1561666713558696985,,1,,11,0
1561666736932933930,137,1561666736932634115,,1,,11,100
1561666737932040986,138,1561666737931773900,,1,,11,0
1561666752594389529,139,1561666752594084978,,1,,3,100
1561666753596173088,140,1561666753595832109,,1,,3,0
1561666771387673514,141,1561666771387356996,,1,,3,100
1561666772391999542,142,1561666772390147924,,1,,3,0
1561666787798936444,143,1561666787798319101,,1,,11,100
1561666788798590864,144,1561666788798194885,,1,,11,0
1561666803808032933,145,1561666803807730913,,1,,11,100
1561666804808359434,146,1561666804807734012,,1,,11,0
1561666818906801091,147,1561666818906457901,,1,,3,100
1561666819916279048,148,1561666819915507078,,1,,3,0
1561666835898793118,149,1561666835898463010,,1,,3,100
1561666836899410315,150,1561666836899043083,,1,,3,0
1561666853117108726,151,1561666853116463899,,1,,11,100
