%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1558721999340899007,1,1558721999340545892,,1,,10,100
1558722000338815543,2,1558722000338501930,,1,,10,0
1558722035443631885,3,1558722035442955017,,1,,10,100
1558722036447518367,4,1558722036447200059,,1,,10,0
1558722054679605213,5,1558722054679244995,,1,,10,100
1558722055679710305,6,1558722055679421901,,1,,10,0
1558722073568666865,7,1558722073568319082,,1,,10,100
1558722074574177180,8,1558722074573555946,,1,,10,0
1558722091129970694,9,1558722091129585981,,1,,10,100
1558722092129481764,10,1558722092129132986,,1,,10,0
1558722109845398997,11,1558722109844717025,,1,,10,100
1558722110846900980,12,1558722110846581935,,1,,10,0
1558722127537473851,13,1558722127537105083,,1,,10,100
1558722128546632585,14,1558722128546195983,,1,,10,0
1558722145541879018,15,1558722145535547018,,1,,10,100
1558722146533947177,16,1558722146533590078,,1,,10,0
1558722166211370320,17,1558722166211072921,,1,,10,100
1558722167210761410,18,1558722167210479021,,1,,10,0
1558722181837879257,19,1558722181829562902,,1,,3,100
1558722182830574961,20,1558722182830279111,,1,,3,0
1558722193449307592,21,1558722193449023008,,1,,10,100
1558722194470243422,22,1558722194469753026,,1,,10,0
1558722209897852948,23,1558722209889499902,,1,,10,100
1558722210891443459,24,1558722210891129016,,1,,10,0
1558722232416258382,25,1558722232415596961,,1,,10,100
1558722233415321698,26,1558722233414951086,,1,,10,0
1558722248419835252,27,1558722248419142007,,1,,10,100
1558722249416760800,28,1558722249416486024,,1,,10,0
1558722266039090479,29,1558722266038779020,,1,,10,100
1558722267039995953,30,1558722267039724111,,1,,10,0
1558722282824480309,31,1558722282823189020,,1,,10,100
1558722283824831439,32,1558722283823337078,,1,,10,0
1558722300378592450,33,1558722300378206968,,1,,10,100
1558722301353593024,34,1558722301353282928,,1,,10,0
1558722316378575636,35,1558722316353496074,,1,,10,100
1558722317354866506,36,1558722317354089975,,1,,10,0
1558722333345779234,37,1558722333345454931,,1,,3,100
1558722334344932378,38,1558722334344507932,,1,,3,0
1558722350708256950,39,1558722350708017110,,1,,10,100
1558722351709667370,40,1558722351708982944,,1,,10,0
1558722367484250051,41,1558722367483932018,,1,,3,100
1558722368484211941,42,1558722368483850955,,1,,3,0
1558722383512900269,43,1558722383512582063,,1,,10,100
1558722384538469530,44,1558722384537616968,,1,,10,0
1558722401823207457,45,1558722401820779085,,1,,3,100
1558722402798389249,46,1558722402798136949,,1,,3,0
1558722413174582822,47,1558722413149497985,,1,,10,100
1558722414150509288,48,1558722414150191068,,1,,10,0
1558722431781736289,49,1558722431781414985,,1,,10,100
1558722432782168785,50,1558722432781470060,,1,,10,0
1558722447452570546,51,1558722447452280998,,1,,3,100
1558722448451954661,52,1558722448451647996,,1,,3,0
1558722463843126201,53,1558722463842221975,,1,,10,100
1558722464856316800,54,1558722464854258060,,1,,10,0
1558722480581801571,55,1558722480581474065,,1,,10,100
1558722481585209798,56,1558722481584880113,,1,,10,0
1558722497409985336,57,1558722497409662961,,1,,10,100
1558722498415774221,58,1558722498415443897,,1,,10,0
1558722518985711634,59,1558722518985332965,,1,,10,100
1558722519985584699,60,1558722519985251903,,1,,10,0
1558722539287435816,61,1558722539286845922,,1,,3,100
1558722540286775717,62,1558722540286503076,,1,,3,0
1558722555517102797,63,1558722555516690969,,1,,10,100
1558722556543224820,64,1558722556542896032,,1,,10,0
1558722571522441284,65,1558722571522156953,,1,,10,100
1558722572539072611,66,1558722572538671016,,1,,10,0
1558722588216177730,67,1558722588215503931,,1,,3,100
1558722589190033160,68,1558722589188571929,,1,,3,0
1558722603786508570,69,1558722603786251068,,1,,10,100
1558722604788791599,70,1558722604788423061,,1,,10,0
1558722628592748657,71,1558722628592071056,,1,,10,100
1558722629591843386,72,1558722629591379880,,1,,10,0
1558722644596765042,73,1558722644596061944,,1,,10,100
1558722645595957211,74,1558722645595551013,,1,,10,0
1558722661753183534,75,1558722661752878904,,1,,3,100
1558722662777737957,76,1558722662775964975,,1,,3,0
1558722678165817634,77,1558722678159751892,,1,,10,100
1558722679158391228,78,1558722679158128023,,1,,10,0
1558722695821448941,79,1558722695820799112,,1,,10,100
1558722696826273200,80,1558722696825295925,,1,,10,0
1558722715978572153,81,1558722715978234052,,1,,10,100
1558722716978143107,82,1558722716977858066,,1,,10,0
1558722731997673197,83,1558722731996419906,,1,,10,100
1558722733021950829,84,1558722733021599054,,1,,10,0
1558722748822963724,85,1558722748822627067,,1,,10,100
1558722749826170890,86,1558722749825494050,,1,,10,0
1558722771125847222,87,1558722771118293046,,1,,10,100
1558722772114496092,88,1558722772110928058,,1,,10,0
