%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1568757527434143668,1,1568757527433715105,,1,,10,100
1568757528435870770,2,1568757528435553073,,1,,10,0
1568757548590949995,3,1568757548590631008,,1,,10,100
1568757549589971485,4,1568757549589668035,,1,,10,0
1568757564612539524,5,1568757564612241029,,1,,10,100
1568757565616317785,6,1568757565615536928,,1,,10,0
1568757583311229696,7,1568757583310905933,,1,,10,100
1568757584315834403,8,1568757584315402030,,1,,10,0
1568757599352609268,9,1568757599352230072,,1,,10,100
1568757600360815516,10,1568757600360050916,,1,,10,0
1568757615399389285,11,1568757615398962020,,1,,10,100
1568757616376751811,12,1568757616376430988,,1,,10,0
1568757631396273573,13,1568757631395937919,,1,,10,100
1568757632396998565,14,1568757632394974946,,1,,10,0
1568757647743030634,15,1568757647742697000,,1,,10,100
1568757648747979011,16,1568757648745379924,,1,,10,0
1568757663750929449,17,1568757663749901056,,1,,10,100
1568757664749487341,18,1568757664749146938,,1,,10,0
1568757682012359114,19,1568757682012092113,,1,,10,100
1568757683013642803,20,1568757683012897014,,1,,10,0
1568757699854263213,21,1568757699853471994,,1,,10,100
1568757700863890568,22,1568757700863145112,,1,,10,0
1568757718391555361,23,1568757718391191959,,1,,10,100
1568757719403702976,24,1568757719403347969,,1,,10,0
1568757736767090165,25,1568757736766279935,,1,,10,100
1568757737767661676,26,1568757737767291069,,1,,10,0
1568757752822443704,27,1568757752822165012,,1,,10,100
1568757753824604005,28,1568757753820626974,,1,,10,0
1568757772490585504,29,1568757772490225076,,1,,10,100
1568757773498541805,30,1568757773498157024,,1,,10,0
1568757788973090413,31,1568757788971039056,,1,,10,100
1568757789972304174,32,1568757789972007036,,1,,10,0
1568758095040022682,33,1568758095039726972,,1,,10,100
1568758096045275172,34,1568758096044703006,,1,,10,0
1568758111065073510,35,1568758111064804077,,1,,10,100
1568758112066971085,36,1568758112066237926,,1,,10,0
1568758127124056969,37,1568758127123594045,,1,,10,100
