%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1555960193341290496,1,1555960193340915918,,1,,10,100
1555960194313516237,2,1555960194313220977,,1,,10,0
1555960209364959367,3,1555960209364686965,,1,,10,100
1555960210368730448,4,1555960210365700006,,1,,10,0
1555960230907477342,5,1555960230907227039,,1,,10,100
1555960231908259479,6,1555960231907962083,,1,,10,0
1555960246958470939,7,1555960246958070039,,1,,10,100
1555960247960260177,8,1555960247959970951,,1,,10,0
1555960264342414879,9,1555960264342127084,,1,,10,100
1555960265342299912,10,1555960265341958045,,1,,10,0
1555960280345255320,11,1555960280344912052,,1,,10,100
1555960281347975175,12,1555960281347315073,,1,,10,0
1555960302636528301,13,1555960302636162042,,1,,10,100
1555960303637347808,14,1555960303635833024,,1,,10,0
1555960318813802504,15,1555960318811479091,,1,,10,100
1555960319812051595,16,1555960319811695098,,1,,10,0
1555960334814077224,17,1555960334813790082,,1,,10,100
1555960335814299989,18,1555960335814018011,,1,,10,0
1555960355472230062,19,1555960355471851110,,1,,10,100
1555960356472482334,20,1555960356472178936,,1,,10,0
1555960371641091489,21,1555960371640770912,,1,,10,100
1555960372642858196,22,1555960372642246007,,1,,10,0
1555960390373442270,23,1555960390371498107,,1,,10,100
1555960391371608854,24,1555960391371284008,,1,,10,0
1555960406379778321,25,1555960406379497051,,1,,10,100
1555960407379842460,26,1555960407379534959,,1,,10,0
1555960425713972750,27,1555960425713675975,,1,,10,100
1555960426711860448,28,1555960426711570024,,1,,10,0
1555960444786900361,29,1555960444786484003,,1,,10,100
1555960445781432340,30,1555960445781006097,,1,,10,0
1555960460800372859,31,1555960460799443960,,1,,10,100
1555960461817773134,32,1555960461817379951,,1,,10,0
1555960477446909816,33,1555960477446665048,,1,,10,100
1555960478466720197,34,1555960478465959072,,1,,10,0
1555960493498075836,35,1555960493497746944,,1,,10,100
1555960494473033081,36,1555960494472157001,,1,,10,0
1555960513308489478,37,1555960513308213949,,1,,10,100
1555960514309999322,38,1555960514308649063,,1,,10,0
1555960533108159241,39,1555960533107753992,,1,,10,100
1555960534108254241,40,1555960534107948064,,1,,10,0
1555960549138949253,41,1555960549138588905,,1,,10,100
1555960550139645969,42,1555960550139353036,,1,,10,0
1555960566357139742,43,1555960566356796979,,1,,10,100
1555960567360433087,44,1555960567356707096,,1,,10,0
1555960586941921819,45,1555960586941585063,,1,,10,100
1555960587940616809,46,1555960587940258026,,1,,10,0
1555960602943535366,47,1555960602943186044,,1,,10,100
1555960603943881034,48,1555960603943444013,,1,,10,0
1555960618959102680,49,1555960618958761930,,1,,10,100
1555960619964583083,50,1555960619963123083,,1,,10,0
1555960655911888958,51,1555960655911525964,,1,,3,100
1555960656910286735,52,1555960656910062074,,1,,3,0
1555960677537118218,53,1555960677535047054,,1,,10,100
1555960678531991717,54,1555960678531603097,,1,,10,0
1555960695925412404,55,1555960695925040006,,1,,10,100
1555960696925611763,56,1555960696925333023,,1,,10,0
1555960711929047876,57,1555960711928761959,,1,,10,100
1555960712930178029,58,1555960712929858922,,1,,10,0
1555960727950553579,59,1555960727950264930,,1,,10,100
1555960728952494773,60,1555960728952050924,,1,,10,0
1555960743964495042,61,1555960743964190959,,1,,10,100
1555960744964910210,62,1555960744964453935,,1,,10,0
1555960761752172188,63,1555960761751871109,,1,,10,100
1555960762777811641,64,1555960762777286052,,1,,10,0
1555960777822762104,65,1555960777822467088,,1,,10,100
1555960778822789109,66,1555960778822150945,,1,,10,0
1555960832895747196,67,1555960832895392894,,1,,10,100
1555960833895097882,68,1555960833894788980,,1,,10,0
1555960849047900145,69,1555960849047621965,,1,,10,100
1555960850049554462,70,1555960850049247026,,1,,10,0
1555960868230648317,71,1555960868229973077,,1,,10,100
1555960869226933604,72,1555960869226644992,,1,,10,0
1555960884239603647,73,1555960884239279031,,1,,10,100
1555960885238491381,74,1555960885238229036,,1,,10,0
1555960903442736001,75,1555960903442156076,,1,,10,100
1555960904440304387,76,1555960904437748908,,1,,10,0
1555960927789839314,77,1555960927789232969,,1,,10,100
1555960928789955595,78,1555960928789536952,,1,,10,0
1555960949256844833,79,1555960949253624916,,1,,10,100
1555960950254572928,80,1555960950254183053,,1,,10,0
1555960970638939885,81,1555960970638598918,,1,,10,100
1555960971645889946,82,1555960971640057086,,1,,10,0
1555960988715368114,83,1555960988715008974,,1,,10,100
1555960989718601163,84,1555960989718270063,,1,,10,0
1555961011598725681,85,1555961011596514940,,1,,10,100
1555961012596458844,86,1555961012596163034,,1,,10,0
