%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1554402880872531573,1,1554402880872204065,,1,,3,100
1554402881874023523,2,1554402881873743057,,1,,3,0
1554402896909679220,3,1554402896909354925,,1,,3,100
1554402897909908885,4,1554402897909609079,,1,,3,0
1554402912934852922,5,1554402912934628963,,1,,3,100
1554402913936996295,6,1554402913936600923,,1,,3,0
1554402928940780748,7,1554402928940489053,,1,,3,100
1554402929939920109,8,1554402929939651012,,1,,3,0
1554402947142320205,9,1554402947142075061,,1,,3,100
1554402948143225795,10,1554402948142934083,,1,,3,0
1554402963146900683,11,1554402963146517038,,1,,3,100
1554402964145788490,12,1554402964145495891,,1,,3,0
1554402983346591042,13,1554402983346357107,,1,,3,100
1554402984346354091,14,1554402984345897912,,1,,3,0
1554403000648174980,15,1554403000647881031,,1,,3,100
1554403001648296723,16,1554403001648008108,,1,,3,0
1554403035536497933,17,1554403035536322116,,1,,3,100
1554403036536284603,18,1554403036536108016,,1,,3,0
1554403071148251458,19,1554403071147905111,,1,,3,100
1554403072146865382,20,1554403072146616935,,1,,3,0
1554403109281275052,21,1554403109281019926,,1,,3,100
1554403110285624229,22,1554403110285320997,,1,,3,0
1554403126990153645,23,1554403126989480972,,1,,3,100
1554403127990011787,24,1554403127989703893,,1,,3,0
1554403144111005563,25,1554403144110771894,,1,,3,100
1554403145112231053,26,1554403145111861944,,1,,3,0
1554403174783037766,27,1554403174782672882,,1,,3,100
1554403175782223788,28,1554403175781908035,,1,,3,0
1554403193812098621,29,1554403193811804056,,1,,3,100
1554403194812978139,30,1554403194812747001,,1,,3,0
1554403228746286316,31,1554403228746011018,,1,,3,100
1554403229746816945,32,1554403229746556043,,1,,3,0
1554403244757017807,33,1554403244756753921,,1,,3,100
1554403245756492218,34,1554403245756210088,,1,,3,0
1554403261017198292,35,1554403261016922950,,1,,3,100
1554403262016661769,36,1554403262016239881,,1,,3,0
1554403278548657587,37,1554403278548412084,,1,,3,100
1554403279549941881,38,1554403279549678087,,1,,3,0
1554403298848860304,39,1554403298847990989,,1,,10,100
1554403299848682470,40,1554403299848318099,,1,,10,0
1554403316658302944,41,1554403316657457113,,1,,10,100
1554403317658070172,42,1554403317657711029,,1,,10,0
1554403332683945955,43,1554403332683634996,,1,,10,100
1554403333688250203,44,1554403333687971115,,1,,10,0
1554403359779149679,45,1554403359778906106,,1,,3,100
1554403360778742267,46,1554403360778517961,,1,,3,0
1554403396735210057,47,1554403396734913110,,1,,3,100
1554403397737140744,48,1554403397736208915,,1,,3,0
1554403412790201402,49,1554403412789923906,,1,,3,100
1554403413790448723,50,1554403413790097951,,1,,3,0
1554403430221309668,51,1554403430221041917,,1,,3,100
1554403431221181210,52,1554403431220654964,,1,,3,0
1554403451752962727,53,1554403451752696990,,1,,10,100
1554403452753293709,54,1554403452752971887,,1,,10,0
1554403473183557932,55,1554403473183259963,,1,,10,100
1554403474183693247,56,1554403474183432102,,1,,10,0
1554403493181061557,57,1554403493180613994,,1,,3,100
1554403494180981960,58,1554403494180469036,,1,,3,0
1554403518956668669,59,1554403518956470966,,1,,3,100
1554403519956508284,60,1554403519956267118,,1,,3,0
1554403536698014977,61,1554403536697735071,,1,,3,100
1554403537700290516,62,1554403537699619054,,1,,3,0
1554403560166257985,63,1554403560165875911,,1,,10,100
1554403561165356352,64,1554403561165056943,,1,,10,0
1554403593931515620,65,1554403593931217908,,1,,3,100
1554403594932607720,66,1554403594932359933,,1,,3,0
1554403628861378178,67,1554403628861138105,,1,,10,100
1554403629861145691,68,1554403629860877037,,1,,10,0
1554403651419857451,69,1554403651419652938,,1,,3,100
1554403652423544944,70,1554403652423280954,,1,,3,0
1554403669155149554,71,1554403669154918909,,1,,3,100
1554403670158254481,72,1554403670157947063,,1,,3,0
1554403695331267482,73,1554403695330641984,,1,,10,100
1554403696330030204,74,1554403696329631090,,1,,10,0
1554403724863617209,75,1554403724863373994,,1,,3,100
1554403725863607247,76,1554403725863328933,,1,,3,0
1554403746959529033,77,1554403746959326982,,1,,10,100
1554403747960832756,78,1554403747960289955,,1,,10,0
1554403775237604160,79,1554403775237343072,,1,,10,100
1554403776237577444,80,1554403776237273931,,1,,10,0
1554403799227274437,81,1554403799226994037,,1,,3,100
1554403800231917771,82,1554403800225183010,,1,,3,0
1554403816828452408,83,1554403816828062057,,1,,3,100
1554403817827871542,84,1554403817827589988,,1,,3,0
1554403832966173622,85,1554403832965881109,,1,,10,100
1554403833966121867,86,1554403833965825080,,1,,10,0
1554403855099857173,87,1554403855099627971,,1,,10,100
1554403856102592819,88,1554403856102169990,,1,,10,0
1554403870610141905,89,1554403870609441995,,1,,3,100
1554403871605605196,90,1554403871605362892,,1,,3,0
1554403906364673131,91,1554403906364418029,,1,,10,100
1554403907364467032,92,1554403907364233016,,1,,10,0
1554403919276599452,93,1554403919276269912,,1,,3,100
1554403920276275186,94,1554403920275832891,,1,,3,0
1554403958802456405,95,1554403958802166938,,1,,3,100
