%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1565224234906547282,1,1565224234906196117,,1,,10,100
1565224235907291067,2,1565224235906971931,,1,,10,0
1565224254522459601,3,1565224254522176027,,1,,10,100
1565224255525810922,4,1565224255525506973,,1,,10,0
1565224270536243892,5,1565224270535557985,,1,,10,100
1565224271534458641,6,1565224271534167051,,1,,10,0
1565224286891783879,7,1565224286891514062,,1,,10,100
1565224287892489228,8,1565224287892182111,,1,,10,0
1565224303460451103,9,1565224303460211992,,1,,10,100
1565224304461561747,10,1565224304461203098,,1,,10,0
1565224319469514484,11,1565224319469228029,,1,,10,100
1565224320469660943,12,1565224320469135999,,1,,10,0
1565224337170011291,13,1565224337169306993,,1,,10,100
1565224338170007045,14,1565224338169647932,,1,,10,0
1565224353205118130,15,1565224353204426050,,1,,10,100
1565224354204426465,16,1565224354204127073,,1,,10,0
1565224369534280169,17,1565224369534034967,,1,,10,100
1565224370534342034,18,1565224370534100055,,1,,10,0
1565224386732334892,19,1565224386732089996,,1,,10,100
1565224387732700238,20,1565224387732472896,,1,,10,0
1565224407694227269,21,1565224407693953037,,1,,10,100
1565224408694031814,22,1565224408693758010,,1,,10,0
1565224428038891602,23,1565224428038611888,,1,,10,100
1565224429050269770,24,1565224429049926042,,1,,10,0
1565224449741578624,25,1565224449741285085,,1,,10,100
1565224450740700641,26,1565224450740374088,,1,,10,0
1565224465772727829,27,1565224465772229909,,1,,10,100
1565224466773252512,28,1565224466772995948,,1,,10,0
1565224481797952655,29,1565224481797456979,,1,,10,100
1565224482796911137,30,1565224482796562910,,1,,10,0
1565224503503727091,31,1565224503503451108,,1,,10,100
1565224504504099269,32,1565224504503632068,,1,,10,0
1565224524295199003,33,1565224524294828891,,1,,10,100
1565224525319720289,34,1565224525317784070,,1,,10,0
1565224543703203586,35,1565224543702907085,,1,,10,100
1565224544702350274,36,1565224544702017068,,1,,10,0
1565224565705988168,37,1565224565705684900,,1,,10,100
1565224566705986646,38,1565224566705646038,,1,,10,0
1565224584897733728,39,1565224584897414922,,1,,10,100
1565224585900435843,40,1565224585900161981,,1,,10,0
1565224602236920748,41,1565224602236444950,,1,,10,100
1565224603236290885,42,1565224603235963106,,1,,10,0
1565224618536253100,43,1565224618533895015,,1,,10,100
1565224619535860649,44,1565224619535562038,,1,,10,0
1565224638235216984,45,1565224638234919071,,1,,10,100
1565224639235716983,46,1565224639235455989,,1,,10,0
1565224657110357587,47,1565224657109730005,,1,,10,100
1565224658113526192,48,1565224658112797021,,1,,10,0
1565224675965799905,49,1565224675965528964,,1,,10,100
1565224676967241222,50,1565224676966969966,,1,,10,0
1565224699770458137,51,1565224699770119905,,1,,10,100
1565224700767602843,52,1565224700767313957,,1,,10,0
1565224716709516315,53,1565224716709191083,,1,,10,100
1565224717708624473,54,1565224717708322048,,1,,10,0
1565224736841227355,55,1565224736840922117,,1,,10,100
1565224737840717698,56,1565224737840421915,,1,,10,0
1565224753649006564,57,1565224753644654035,,1,,10,100
1565224754644644024,58,1565224754644351005,,1,,10,0
1565224769672291904,59,1565224769671982049,,1,,10,100
1565224770672869517,60,1565224770672462940,,1,,10,0
1565224786406838455,61,1565224786406501054,,1,,10,100
1565224787407004356,62,1565224787406723022,,1,,10,0
1565224803575126978,63,1565224803574768066,,1,,10,100
1565224804576110949,64,1565224804575445890,,1,,10,0
1565224822541306392,65,1565224822540982007,,1,,10,100
