%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1563228683133072125,1,1563228683132576942,,1,,10,100
1563228684137083154,2,1563228684136739015,,1,,10,0
1563228716123573940,3,1563228716123291015,,1,,10,100
1563228717122531514,4,1563228717122183084,,1,,10,0
1563228738210794207,5,1563228738210426092,,1,,10,100
1563228739210912709,6,1563228739210439920,,1,,10,0
1563228754214633889,7,1563228754214366912,,1,,10,100
1563228755216499287,8,1563228755215259075,,1,,10,0
1563228770233810142,9,1563228770233208894,,1,,10,100
1563228771259945201,10,1563228771259211063,,1,,10,0
1563228789075283862,11,1563228789074568033,,1,,10,100
1563228790074851430,12,1563228790074561119,,1,,10,0
1563228805099068306,13,1563228805098730087,,1,,10,100
1563228806095175453,14,1563228806094849109,,1,,10,0
1563228821111797260,15,1563228821111481904,,1,,10,100
1563228822138380500,16,1563228822138006925,,1,,10,0
1563228837132460200,17,1563228837132158041,,1,,10,100
1563228838144035828,18,1563228838141500949,,1,,10,0
1563228858330712069,19,1563228858330399036,,1,,10,100
1563228859337837686,20,1563228859330738067,,1,,10,0
1563228874536896765,21,1563228874536606073,,1,,10,100
1563228875537305780,22,1563228875536895990,,1,,10,0
1563228898327439306,23,1563228898327152967,,1,,10,100
1563228899332189545,24,1563228899330605983,,1,,10,0
1563228914354537279,25,1563228914353302001,,1,,10,100
1563228915350930942,26,1563228915350557088,,1,,10,0
1563228931153768520,27,1563228931153327941,,1,,10,100
1563228932155874917,28,1563228932155432939,,1,,10,0
1563228952213905142,29,1563228952186966896,,1,,10,100
1563228953191480852,30,1563228953190845966,,1,,10,0
1563228978572865466,31,1563228978572549104,,1,,10,100
1563228979593159681,32,1563228979590362071,,1,,10,0
1563228994621844014,33,1563228994621536970,,1,,10,100
1563228995621944451,34,1563228995621629953,,1,,10,0
1563229010649969529,35,1563229010649385929,,1,,10,100
1563229011645758722,36,1563229011642676115,,1,,10,0
1563229036641808125,37,1563229036641253948,,1,,10,100
1563229037659326379,38,1563229037658926963,,1,,10,0
1563229052641659181,39,1563229052641316890,,1,,10,100
1563229053660630595,40,1563229053659902095,,1,,10,0
1563229077978180334,41,1563229077973989963,,1,,10,100
