%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1565307229769277526,1,1565307229768572092,,1,,3,100
1565307230779651835,2,1565307230779347896,,1,,3,0
1565307249170793691,3,1565307249170511960,,1,,3,100
1565307250171141633,4,1565307250170816898,,1,,3,0
1565307265203608507,5,1565307265203306913,,1,,3,100
1565307266202811493,6,1565307266202521085,,1,,3,0
1565307282401368231,7,1565307282400883913,,1,,3,100
1565307283403166807,8,1565307283402487039,,1,,3,0
1565307302037560116,9,1565307302037110090,,1,,3,100
1565307303037123675,10,1565307303036855936,,1,,3,0
1565307318312670846,11,1565307318312371969,,1,,3,100
1565307319312552892,12,1565307319312225103,,1,,3,0
1565307334344214824,13,1565307334343921899,,1,,3,100
1565307335345203802,14,1565307335344748973,,1,,3,0
1565307350376404639,15,1565307350376115083,,1,,3,100
1565307351376345149,16,1565307351375691890,,1,,3,0
1565307366404270781,17,1565307366403960943,,1,,3,100
1565307367405844718,18,1565307367405487060,,1,,3,0
1565307382406972690,19,1565307382406624078,,1,,3,100
1565307383406974801,20,1565307383406692981,,1,,3,0
1565307430800907140,21,1565307430800345897,,1,,3,100
1565307431801553085,22,1565307431800920009,,1,,3,0
1565307447307834082,23,1565307447307482004,,1,,3,100
1565307448307501936,24,1565307448307141065,,1,,3,0
1565307465810144974,25,1565307465809789896,,1,,3,100
1565307466810218413,26,1565307466809928894,,1,,3,0
1565307513016647009,27,1565307513016283035,,1,,3,100
1565307514016264159,28,1565307514015954017,,1,,3,0
1565307529036453525,29,1565307529036011934,,1,,3,100
1565307530038025512,30,1565307530037601947,,1,,3,0
1565307545043389390,31,1565307545043095111,,1,,3,100
1565307546044398279,32,1565307546042932987,,1,,3,0
1565307561050964928,33,1565307561050594091,,1,,3,100
1565307562049907669,34,1565307562049665927,,1,,3,0
1565307577071309435,35,1565307577071001052,,1,,3,100
1565307578077084153,36,1565307578076798915,,1,,3,0
1565307593080325916,37,1565307593080049037,,1,,3,100
1565307594080808398,38,1565307594080517053,,1,,3,0
1565307609112355042,39,1565307609112044095,,1,,3,100
1565307610111071767,40,1565307610110821962,,1,,3,0
1565307625117253613,41,1565307625116976976,,1,,3,100
1565307626117351796,42,1565307626117012977,,1,,3,0
1565307659025710353,43,1565307659025430917,,1,,3,100
1565307660027210876,44,1565307660026724100,,1,,3,0
1565307675047050867,45,1565307675046755075,,1,,3,100
1565307676046149105,46,1565307676045742988,,1,,3,0
1565307712114939916,47,1565307712114614009,,1,,3,100
1565307713114214249,48,1565307713113949060,,1,,3,0
1565307728147965994,49,1565307728147619962,,1,,3,100
1565307729147192102,50,1565307729146944046,,1,,3,0
1565307744178837825,51,1565307744178539037,,1,,3,100
1565307745177222350,52,1565307745176948070,,1,,3,0
1565307760181282572,53,1565307760180876970,,1,,3,100
1565307761183530364,54,1565307761183233976,,1,,3,0
1565307776189907948,55,1565307776189588069,,1,,3,100
1565307777190297551,56,1565307777189615011,,1,,3,0
1565307792217315124,57,1565307792216995954,,1,,3,100
1565307793217565719,58,1565307793216928005,,1,,3,0
1565307808912850516,59,1565307808912277936,,1,,3,100
1565307809913864165,60,1565307809913640022,,1,,3,0
1565307841946808040,61,1565307841946424007,,1,,3,100
1565307842946968268,62,1565307842946319103,,1,,3,0
1565307857982885016,63,1565307857982623100,,1,,3,100
1565307858982915425,64,1565307858982614040,,1,,3,0
1565307873986253258,65,1565307873985980987,,1,,3,100
1565307874986584847,66,1565307874986289024,,1,,3,0
1565307890026931680,67,1565307890023542881,,1,,3,100
1565307891026187213,68,1565307891023401021,,1,,3,0
1565307906051129113,69,1565307906050857067,,1,,3,100
1565307907051611091,70,1565307907050921916,,1,,3,0
1565307938961058954,71,1565307938958745002,,1,,3,100
1565307939958303994,72,1565307939957999944,,1,,3,0
1565307990136486379,73,1565307990136159896,,1,,3,100
1565307991137651508,74,1565307991137300968,,1,,3,0
1565308051601530083,75,1565308051597512006,,1,,3,100
1565308052597392743,76,1565308052597013950,,1,,3,0
1565308070356324857,77,1565308070356050014,,1,,3,100
1565308071357327357,78,1565308071357022047,,1,,3,0
1565308086389398907,79,1565308086389132976,,1,,3,100
1565308087390936526,80,1565308087390543937,,1,,3,0
1565308102393188128,81,1565308102392482042,,1,,3,100
1565308103391619709,82,1565308103391365051,,1,,3,0
1565308118393440986,83,1565308118392901897,,1,,3,100
1565308119400070800,84,1565308119392699956,,1,,3,0
1565308134430300009,85,1565308134429990053,,1,,3,100
1565308135430039823,86,1565308135429665088,,1,,3,0
1565308150456631989,87,1565308150456347942,,1,,3,100
1565308151458004251,88,1565308151457714080,,1,,3,0
1565308166459113076,89,1565308166458714962,,1,,3,100
1565308167463122097,90,1565308167462780952,,1,,3,0
1565308182491690395,91,1565308182491338968,,1,,3,100
1565308183491960631,92,1565308183491661071,,1,,3,0
1565308198524613581,93,1565308198524183988,,1,,3,100
1565308199525565449,94,1565308199525155067,,1,,3,0
1565308214557099265,95,1565308214556817054,,1,,3,100
1565308215557746165,96,1565308215557461977,,1,,3,0
1565308230593562680,97,1565308230593194961,,1,,3,100
1565308231594529843,98,1565308231594196081,,1,,3,0
1565308284550271553,99,1565308284549922943,,1,,3,100
1565308285556037477,100,1565308285550228118,,1,,3,0
1565308305430406444,101,1565308305429672002,,1,,3,100
1565308306437756212,102,1565308306437448024,,1,,3,0
