%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1563491371635006748,1,1563491371634505987,,1,,10,100
1563491372637137303,2,1563491372636787891,,1,,10,0
1563491387669837161,3,1563491387669456005,,1,,10,100
1563491388697588183,4,1563491388696840047,,1,,10,0
1563491403675411180,5,1563491403675090074,,1,,10,100
1563491404703113689,6,1563491404701999902,,1,,10,0
1563491419738024870,7,1563491419737631082,,1,,10,100
1563491420714577093,8,1563491420714200019,,1,,10,0
1563491435786259567,9,1563491435785881996,,1,,10,100
1563491436779404409,10,1563491436778690099,,1,,10,0
1563491452185795574,11,1563491452181421041,,1,,10,100
1563491453183495881,12,1563491453181863069,,1,,10,0
1563491468243402725,13,1563491468243069887,,1,,10,100
1563491469250430346,14,1563491469250108957,,1,,10,0
1563491485615499555,15,1563491485615187883,,1,,10,100
1563491486619303559,16,1563491486618895053,,1,,10,0
1563491501656878656,17,1563491501654854059,,1,,10,100
1563491502629888841,18,1563491502629466056,,1,,10,0
1563491519794505536,19,1563491519794087886,,1,,10,100
1563491520790474646,20,1563491520790153026,,1,,10,0
1563491540070198030,21,1563491540069849014,,1,,10,100
1563491541068948928,22,1563491541068625926,,1,,10,0
1563491560492605612,23,1563491560492274999,,1,,10,100
1563491561499371116,24,1563491561498733043,,1,,10,0
1563491577305917599,25,1563491577305593967,,1,,10,100
1563491578306049146,26,1563491578305735111,,1,,10,0
1563491602018550280,27,1563491602017935991,,1,,10,100
1563491603017820571,28,1563491603016627073,,1,,10,0
1563491618020114728,29,1563491618019795894,,1,,10,100
1563491619027386684,30,1563491619027080059,,1,,10,0
1563491637533494226,31,1563491637533092021,,1,,10,100
1563491638528247093,32,1563491638527848005,,1,,10,0
1563491653537853993,33,1563491653537514925,,1,,10,100
1563491654531702000,34,1563491654531060934,,1,,10,0
1563491671304100684,35,1563491671303394079,,1,,10,100
1563491672303009897,36,1563491672302669048,,1,,10,0
1563491689237208914,37,1563491689234694957,,1,,10,100
1563491690227995469,38,1563491690227646112,,1,,10,0
1563491705780847862,39,1563491705780482053,,1,,10,100
1563491706785091045,40,1563491706780730962,,1,,10,0
1563491721838966222,41,1563491721838578939,,1,,10,100
1563491722838210697,42,1563491722837915897,,1,,10,0
1563491738936655879,43,1563491738936301946,,1,,10,100
