%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1568837118122260621,1,1568837118121442079,,1,,10,100
1568837119123690934,2,1568837119123301982,,1,,10,0
1568837142849817967,3,1568837142849441051,,1,,10,100
1568837143847662986,4,1568837143847209930,,1,,10,0
1568837158859826177,5,1568837158859503984,,1,,10,100
1568837159858935448,6,1568837159858592987,,1,,10,0
1568837174881277564,7,1568837174880882978,,1,,10,100
1568837175906741583,8,1568837175906434059,,1,,10,0
1568837238348574784,9,1568837238347879886,,1,,10,100
1568837239361657798,10,1568837239361229896,,1,,10,0
1568837254365762359,11,1568837254365473985,,1,,10,100
1568837255368692659,12,1568837255368415117,,1,,10,0
1568837270389397352,13,1568837270388660907,,1,,10,100
1568837271404981839,14,1568837271404675960,,1,,10,0
1568837301831524171,15,1568837301831212043,,1,,10,100
1568837302834690336,16,1568837302830229997,,1,,10,0
1568837317860897519,17,1568837317860584974,,1,,10,100
1568837318862431257,18,1568837318862060070,,1,,10,0
1568837333863973765,19,1568837333863651990,,1,,10,100
1568837334884059481,20,1568837334883692026,,1,,10,0
1568837386656048796,21,1568837386655381917,,1,,10,100
1568837387656655612,22,1568837387656265020,,1,,10,0
1568837715653572491,23,1568837715653070926,,1,,10,100
1568837716652528561,24,1568837716652153015,,1,,10,0
1568837731669545406,25,1568837731669203996,,1,,10,100
1568837732683454591,26,1568837732682738065,,1,,10,0
1568837813059736942,27,1568837813058770895,,1,,10,100
1568837814061412432,28,1568837814061080932,,1,,10,0
1568837829076389607,29,1568837829076009988,,1,,10,100
1568837830076577624,30,1568837830075730085,,1,,10,0
1568837866492091322,31,1568837866491394042,,1,,10,100
1568837867489875515,32,1568837867489573955,,1,,10,0
1568837882501768386,33,1568837882501283884,,1,,10,100
1568837883535967891,34,1568837883535669088,,1,,10,0
1568837958609556124,35,1568837958608824014,,1,,10,100
1568837959609660650,36,1568837959609097957,,1,,10,0
1568837974624232660,37,1568837974623467922,,1,,10,100
1568837975629714723,38,1568837975628966093,,1,,10,0
1568837990628777305,39,1568837990628434896,,1,,10,100
1568837991637521431,40,1568837991628422021,,1,,10,0
1568838006651588869,41,1568838006651184082,,1,,10,100
1568838007653620227,42,1568838007653192996,,1,,10,0
1568838339735059983,43,1568838339734669923,,1,,10,100
1568838340758854148,44,1568838340758353948,,1,,10,0
1568838355745487719,45,1568838355745060920,,1,,10,100
1568838356747585993,46,1568838356747190952,,1,,10,0
1568838371764849079,47,1568838371764512062,,1,,10,100
1568838372768354942,48,1568838372767636060,,1,,10,0
1568838387770443016,49,1568838387769711017,,1,,10,100
1568838388774462618,50,1568838388772164106,,1,,10,0
1568838403837476236,51,1568838403837059020,,1,,10,100
1568838404857611427,52,1568838404856044054,,1,,10,0
1568838419838419416,53,1568838419838037967,,1,,10,100
1568838420846721728,54,1568838420846393108,,1,,10,0
1568838435903720932,55,1568838435903341054,,1,,10,100
1568838436903038239,56,1568838436902657985,,1,,10,0
1568838451942368065,57,1568838451941375017,,1,,10,100
1568838452941711804,58,1568838452941216945,,1,,10,0
1568838570636770229,59,1568838570636441946,,1,,10,100
1568838571633422192,60,1568838571633116006,,1,,10,0
1568838586656532109,61,1568838586656014919,,1,,10,100
1568838587655309583,62,1568838587655050039,,1,,10,0
1568838937273503483,63,1568838937269920110,,1,,10,100
1568838938270203613,64,1568838938269881010,,1,,10,0
1568838953270839033,65,1568838953270591020,,1,,10,100
1568838954283364452,66,1568838954283055067,,1,,10,0
1568839015716111903,67,1568839015715867996,,1,,10,100
1568839016718645703,68,1568839016718373060,,1,,10,0
1568839044642085916,69,1568839044641848087,,1,,10,100
1568839045645531121,70,1568839045645235061,,1,,10,0
